week,home_team,away_team,home_goals,away_goals,result
13,Villarreal,Levante,0,0,D
13,Celta Vigo,Mallorca,1,3,A

14,Osasuna,Valladolid,1,1,D
14,Atletico Madrid,Real Sociedad,0,1,A
14,Granada,Alaves,0,3,A
14,Barcelona,Celta Vigo,3,1,H
14,Valencia,Levante,1,0,H
14,Athletic Bilbao,Real Madrid,2,2,D
14,Leganes,Almeria,2,2,D
14,Betis,Villarreal,0,3,A
14,Getafe,Espanyol,0,0,D
14,Mallorca,Sevilla,1,1,D

15,Alaves,Osasuna,3,0,H
15,Espanyol,Mallorca,2,2,D
15,Valladolid,Leganes,2,1,H
15,Sevilla,Barcelona,1,3,A
15,Levante,Atletico Madrid,1,4,A
15,Almeria,Real Madrid,3,3,D
15,Real Sociedad,Getafe,1,0,H
15,Valencia,Betis,1,2,A
15,Celta Vigo,Athletic Bilbao,0,1,A
15,Villarreal,Granada,2,1,H

16,Mallorca,Real Sociedad,2,4,A
16,Granada,Valencia,2,3,A
16,Athletic Bilbao,Almeria,3,0,H
16,Real Madrid,Valladolid,2,1,H
16,Osasuna,Villarreal,2,0,H
16,Celta Vigo,Sevilla,2,2,D
16,Atletico Madrid,Betis,2,0,H
16,Getafe,Levante,0,0,D
16,Barcelona,Espanyol,1,0,H
16,Leganes,Alaves,3,2,H

17,Betis,Getafe,1,2,A
17,Real Sociedad,Barcelona,1,1,D
17,Levante,Mallorca,1,2,A
17,Alaves,Real Madrid,0,0,D
17,Sevilla,Athletic Bilbao,1,1,D
17,Villarreal,Leganes,1,1,D
17,Valladolid,Almeria,1,2,A
17,Valencia,Osasuna,0,1,A
17,Espanyol,Celta Vigo,0,0,D
17,Atletico Madrid,Granada,3,0,H

18,Barcelona,Levante,4,2,H
18,Osasuna,Atletico Madrid,3,0,H
18,Leganes,Valencia,2,1,H
18,Sevilla,Espanyol,2,2,D
18,Mallorca,Betis,2,1,H
18,Real Madrid,Villarreal,2,1,H
18,Athletic Bilbao,Valladolid,2,2,D
18,Celta Vigo,Real Sociedad,0,0,D
18,Almeria,Alaves,1,3,A
18,Getafe,Granada,4,0,H

19,Levante,Celta Vigo,0,0,D
19,Atletico Madrid,Leganes,2,2,D
19,Granada,Mallorca,1,0,H
19,Espanyol,Athletic Bilbao,2,2,D
19,Betis,Barcelona,1,2,A
19,Getafe,Osasuna,1,1,D
19,Villarreal,Almeria,1,0,H
19,Alaves,Valladolid,3,3,D
19,Valencia,Real Madrid,2,0,H
19,Real Sociedad,Sevilla,1,3,A

20,Almeria,Valencia,2,2,D
20,Barcelona,Granada,2,0,H
20,Real Madrid,Atletico Madrid,2,2,D
20,Athletic Bilbao,Alaves,2,3,A
20,Leganes,Getafe,0,0,D
20,Mallorca,Osasuna,4,1,H
20,Espanyol,Real Sociedad,1,0,H
20,Celta Vigo,Betis,0,4,A
20,Valladolid,Villarreal,1,2,A
20,Sevilla,Levante,1,1,D

21,Levante,Espanyol,2,2,D
21,Real Sociedad,Athletic Bilbao,1,1,D
21,Granada,Celta Vigo,0,1,A
21,Betis,Sevilla,0,1,A
21,Atletico Madrid,Almeria,3,0,H
21,Osasuna,Barcelona,0,1,A
21,Getafe,Real Madrid,2,2,D
21,Mallorca,Leganes,0,0,D
21,Villarreal,Alaves,1,2,A
21,Valencia,Valladolid,0,1,A

22,Athletic Bilbao,Villarreal,2,0,H
22,Celta Vigo,Osasuna,1,0,H
22,Almeria,Getafe,0,2,A
22,Espanyol,Betis,1,2,A
22,Real Madrid,Mallorca,4,2,H
22,Real Sociedad,Levante,3,3,D
22,Barcelona,Leganes,0,1,A
22,Sevilla,Granada,0,0,D
22,Alaves,Valencia,0,0,D
22,Valladolid,Atletico Madrid,2,2,D

23,Barcelona,Real Madrid,1,0,H
23,Valencia,Villarreal,0,3,A
23,Granada,Espanyol,2,0,H
23,Mallorca,Almeria,2,2,D
23,Betis,Real Sociedad,0,3,A
23,Osasuna,Sevilla,1,2,A
23,Levante,Athletic Bilbao,0,1,A
23,Getafe,Valladolid,3,2,H
23,Atletico Madrid,Alaves,3,2,H
23,Leganes,Celta Vigo,2,1,H

24,Valladolid,Mallorca,0,1,A
24,Alaves,Getafe,1,3,A
24,Espanyol,Osasuna,0,1,A
24,Athletic Bilbao,Valencia,0,1,A
24,Sevilla,Leganes,0,0,D
24,Levante,Betis,2,0,H
24,Celta Vigo,Real Madrid,2,1,H
24,Real Sociedad,Granada,4,1,H
24,Villarreal,Atletico Madrid,3,3,D
24,Almeria,Barcelona,1,1,D

25,Atletico Madrid,Valencia,3,1,H
25,Getafe,Villarreal,3,1,H
25,Barcelona,Valladolid,0,0,D
25,Granada,Levante,1,1,D
25,Mallorca,Alaves,1,2,A
25,Celta Vigo,Almeria,1,1,D
25,Real Madrid,Sevilla,2,0,H
25,Leganes,Espanyol,2,0,H
25,Betis,Athletic Bilbao,2,3,A
25,Osasuna,Real Sociedad,1,2,A

26,Valencia,Getafe,2,2,D
26,Sevilla,Almeria,3,0,H
26,Espanyol,Real Madrid,2,2,D
26,Valladolid,Celta Vigo,0,2,A
26,Athletic Bilbao,Atletico Madrid,0,1,A
26,Levante,Osasuna,2,2,D
26,Real Sociedad,Leganes,0,0,D
26,Betis,Granada,3,1,H
26,Alaves,Barcelona,2,0,H
26,Villarreal,Mallorca,2,3,A

27,Real Madrid,Real Sociedad,2,1,H
27,Sevilla,Valladolid,1,1,D
27,Celta Vigo,Alaves,3,0,H
27,Almeria,Espanyol,1,1,D
27,Leganes,Levante,2,1,H
27,Barcelona,Villarreal,0,0,D
27,Osasuna,Betis,2,1,H
27,Getafe,Atletico Madrid,1,3,A
27,Mallorca,Valencia,0,1,A
27,Granada,Athletic Bilbao,0,2,A

28,Villarreal,Celta Vigo,0,0,D
28,Real Sociedad,Almeria,3,1,H
28,Athletic Bilbao,Getafe,1,0,H
28,Levante,Real Madrid,2,3,A
28,Betis,Leganes,2,3,A
28,Alaves,Sevilla,1,0,H
28,Atletico Madrid,Mallorca,3,1,H
28,Granada,Osasuna,1,2,A
28,Espanyol,Valladolid,3,0,H
28,Valencia,Barcelona,1,3,A

29,Mallorca,Getafe,3,0,H
29,Leganes,Granada,3,1,H
29,Celta Vigo,Valencia,0,2,A
29,Almeria,Levante,2,1,H
29,Sevilla,Villarreal,2,0,H
29,Osasuna,Athletic Bilbao,1,2,A
29,Barcelona,Atletico Madrid,2,0,H
29,Real Madrid,Betis,2,0,H
29,Valladolid,Real Sociedad,0,1,A
29,Espanyol,Alaves,1,0,H

30,Valencia,Sevilla,1,1,D
30,Atletico Madrid,Celta Vigo,0,1,A
30,Betis,Almeria,1,1,D
30,Getafe,Barcelona,1,3,A
30,Villarreal,Espanyol,0,3,A
30,Granada,Real Madrid,3,1,H
30,Athletic Bilbao,Mallorca,3,1,H
30,Osasuna,Leganes,3,0,H
30,Real Sociedad,Alaves,2,1,H
30,Levante,Valladolid,0,0,D
36,Athletic Bilbao,Sevilla,0,1,A
36,Atletico Madrid,Getafe,2,1,H
36,Alaves,Real Sociedad,1,1,D
36,Villarreal,Valladolid,0,3,A
36,Real Madrid,Celta Vigo,1,0,H
36,Valencia,Betis,1,2,A
36,Almeria,Osasuna,2,0,H
36,Barcelona,Leganes,2,1,H
36,Levante,Granada,1,0,H
36,Espanyol,Mallorca,1,0,H
35,Granada,Barcelona,2,4,A
35,Valencia,Atletico Madrid,1,1,D
35,Sevilla,Levante,3,1,H
35,Almeria,Villarreal,0,3,A
35,Alaves,Real Sociedad,2,2,D
35,Celta Vigo,Betis,1,0,H
35,Osasuna,Getafe,1,1,D
35,Valladolid,Espanyol,1,3,A
35,Real Madrid,Athletic Bilbao,2,4,A
35,Leganes,Mallorca,2,0,H
34,Barcelona,Sevilla,3,0,H
34,Atletico Madrid,Celta Vigo,3,2,H
34,Betis,Villarreal,3,0,H
34,Leganes,Valladolid,3,1,H
34,Athletic Bilbao,Almeria,1,0,H
34,Espanyol,Osasuna,2,1,H
34,Getafe,Alaves,2,2,D
34,Real Sociedad,Valencia,1,3,A
34,Mallorca,Granada,3,1,H
34,Levante,Real Madrid,1,1,D
33,Atletico Madrid,Betis,1,1,D
33,Valencia,Getafe,1,2,A
33,Real Madrid,Barcelona,4,1,H
33,Granada,Valladolid,2,2,D
33,Celta Vigo,Real Sociedad,3,1,H
33,Osasuna,Leganes,3,1,H
33,Sevilla,Mallorca,1,3,A
33,Villarreal,Athletic Bilbao,3,0,H
33,Alaves,Espanyol,1,0,H
33,Almeria,Levante,2,0,H
32,Espanyol,Valencia,3,3,D
32,Barcelona,Almeria,1,0,H
32,Granada,Osasuna,0,2,A
32,Getafe,Celta Vigo,1,1,D
32,Betis,Athletic Bilbao,1,0,H
32,Valladolid,Sevilla,1,0,H
32,Mallorca,Real Madrid,1,1,D
32,Real Sociedad,Atletico Madrid,1,0,H
32,Leganes,Alaves,1,0,H
32,Levante,Villarreal,2,1,H
31,Celta Vigo,Espanyol,0,1,A
31,Villarreal,Barcelona,3,1,H
31,Atletico Madrid,Getafe,2,0,H
31,Real Madrid,Valladolid,4,1,H
31,Almeria,Mallorca,0,0,D
31,Real Sociedad,Betis,2,2,D
31,Athletic Bilbao,Levante,4,0,H
31,Valencia,Leganes,1,3,A
31,Alaves,Granada,5,0,H
31,Real Madrid,Alaves,2,1,H
31,Atletico Madrid,Leganes,0,1,A
31,Levante,Barcelona,1,0,H
31,Villarreal,Valladolid,1,0,H
31,Almeria,Osasuna,2,1,H
31,Celta Vigo,Granada,0,4,A
31,Real Sociedad,Espanyol,0,0,D
31,Athletic Bilbao,Mallorca,1,0,H
31,Getafe,Betis,0,3,A
31,Valencia,Sevilla,2,3,A
31,Sevilla,Alaves,0,1,A
31,Osasuna,Real Madrid,1,0,H
31,Mallorca,Villarreal,0,0,D
31,Espanyol,Atletico Madrid,2,0,H
31,Getafe,Real Sociedad,1,1,D
31,Barcelona,Athletic Bilbao,2,0,H
31,Granada,Valencia,2,0,H
31,Leganes,Celta Vigo,2,1,H
31,Betis,Levante,0,0,D
31,Valladolid,Almeria,3,3,D
28,Real Madrid,Valencia,1,1,D
28,Betis,Barcelona,1,4,A
28,Espanyol,Getafe,1,2,A
28,Sevilla,Celta Vigo,1,0,H
28,Granada,Atletico Madrid,1,1,D
28,Osasuna,Villarreal,0,2,A
28,Mallorca,Levante,1,1,D
28,Leganes,Real Sociedad,1,1,D
28,Alaves,Almeria,3,1,H
28,Valladolid,Athletic Bilbao,1,1,D
27,Barcelona,Mallorca,2,1,H
27,Atletico Madrid,Sevilla,0,0,D
27,Getafe,Leganes,0,0,D
27,Almeria,Valencia,1,0,H
27,Athletic Bilbao,Osasuna,2,2,D
27,Espanyol,Betis,3,2,H
27,Real Sociedad,Granada,1,2,A
27,Villarreal,Alaves,0,0,D
27,Celta Vigo,Real Madrid,1,2,A
27,Levante,Valladolid,2,2,D
26,Valladolid,Barcelona,1,1,D
26,Alaves,Athletic Bilbao,0,2,A
26,Valencia,Villarreal,3,2,H
26,Osasuna,Levante,1,1,D
26,Real Madrid,Atletico Madrid,1,2,A
26,Leganes,Espanyol,3,2,H
26,Granada,Getafe,0,0,D
26,Almeria,Celta Vigo,1,2,A
26,Betis,Mallorca,3,1,H
26,Sevilla,Real Sociedad,0,0,D
25,Barcelona,Osasuna,2,0,H
25,Mallorca,Valladolid,2,2,D
25,Leganes,Betis,2,0,H
25,Atletico Madrid,Almeria,2,1,H
25,Athletic Bilbao,Valencia,0,2,A
25,Getafe,Sevilla,1,2,A
25,Real Sociedad,Real Madrid,1,0,H
25,Espanyol,Granada,1,0,H
25,Levante,Alaves,2,1,H
25,Villarreal,Celta Vigo,1,1,D
24,Sevilla,Espanyol,2,2,D
24,Real Madrid,Getafe,0,0,D
24,Osasuna,Mallorca,3,1,H
24,Villarreal,Atletico Madrid,2,1,H
24,Celta Vigo,Athletic Bilbao,3,0,H
24,Granada,Leganes,2,4,A
24,Valencia,Levante,0,1,A
24,Betis,Valladolid,0,3,A
24,Almeria,Real Sociedad,1,0,H
24,Alaves,Barcelona,2,2,D
23,Getafe,Almeria,2,1,H
23,Espanyol,Real Madrid,2,3,A
23,Valladolid,Osasuna,1,2,A
23,Granada,Betis,1,2,A
23,Levante,Celta Vigo,1,0,H
23,Real Sociedad,Villarreal,2,1,H
23,Mallorca,Alaves,1,1,D
23,Athletic Bilbao,Atletico Madrid,2,0,H
23,Leganes,Sevilla,0,1,A
23,Barcelona,Valencia,0,2,A
23,Almeria,Espanyol,2,2,D
23,Villarreal,Getafe,1,0,H
23,Alaves,Valladolid,0,0,D
23,Betis,Osasuna,2,0,H
23,Atletico Madrid,Levante,3,2,H
23,Valencia,Mallorca,0,0,D
23,Celta Vigo,Barcelona,2,2,D
23,Real Madrid,Leganes,0,0,D
23,Athletic Bilbao,Real Sociedad,2,1,H
23,Sevilla,Granada,2,0,H
23,Getafe,Athletic Bilbao,1,1,D
23,Barcelona,Atletico Madrid,1,2,A
23,Sevilla,Betis,1,3,A
23,Espanyol,Villarreal,5,1,H
23,Granada,Real Madrid,2,1,H
23,Levante,Real Sociedad,0,1,A
23,Valladolid,Valencia,2,1,H
23,Leganes,Almeria,1,0,H
23,Osasuna,Alaves,1,2,A
23,Mallorca,Celta Vigo,0,1,A
20,Celta Vigo,Valladolid,1,1,D
20,Athletic Bilbao,Espanyol,1,0,H
20,Almeria,Granada,2,2,D
20,Real Madrid,Sevilla,2,0,H
20,Atletico Madrid,Mallorca,1,0,H
20,Levante,Getafe,1,1,D
20,Villarreal,Leganes,0,0,D
20,Real Sociedad,Barcelona,3,3,D
20,Betis,Alaves,3,2,H
20,Valencia,Osasuna,3,0,H
19,Granada,Villarreal,2,3,A
19,Osasuna,Celta Vigo,0,1,A
19,Leganes,Athletic Bilbao,2,0,H
19,Alaves,Valencia,3,1,H
19,Mallorca,Real Sociedad,0,5,A
19,Valladolid,Atletico Madrid,0,2,A
19,Espanyol,Levante,3,2,H
19,Real Madrid,Betis,2,1,H
19,Barcelona,Getafe,4,1,H
19,Sevilla,Almeria,3,1,H
18,Barcelona,Espanyol,1,4,A
18,Villarreal,Sevilla,1,1,D
18,Almeria,Real Madrid,2,3,A
18,Betis,Valencia,3,0,H
18,Real Sociedad,Valladolid,2,1,H
18,Celta Vigo,Alaves,0,3,A
18,Atletico Madrid,Osasuna,3,0,H
18,Getafe,Mallorca,1,2,A
18,Levante,Leganes,1,1,D
18,Athletic Bilbao,Granada,3,0,H
17,Valladolid,Getafe,1,1,D
17,Granada,Levante,3,1,H
17,Real Madrid,Villarreal,2,1,H
17,Almeria,Betis,2,4,A
17,Sevilla,Athletic Bilbao,1,1,D
17,Valencia,Celta Vigo,1,3,A
17,Alaves,Atletico Madrid,1,4,A
17,Leganes,Barcelona,0,2,A
17,Mallorca,Espanyol,2,0,H
17,Osasuna,Real Sociedad,1,1,D
16,Atletico Madrid,Valencia,2,4,A
16,Real Sociedad,Alaves,1,1,D
16,Villarreal,Almeria,2,2,D
16,Athletic Bilbao,Real Madrid,0,1,A
16,Betis,Celta Vigo,2,0,H
16,Mallorca,Leganes,1,1,D
16,Levante,Sevilla,2,0,H
16,Getafe,Osasuna,2,2,D
16,Barcelona,Granada,3,0,H
16,Espanyol,Valladolid,0,0,D
15,Granada,Mallorca,1,4,A
15,Valladolid,Leganes,2,2,D
15,Almeria,Athletic Bilbao,3,1,H
15,Alaves,Getafe,1,1,D
15,Celta Vigo,Atletico Madrid,0,2,A
15,Osasuna,Espanyol,2,1,H
15,Real Madrid,Levante,3,2,H
15,Villarreal,Betis,1,2,A
15,Valencia,Real Sociedad,2,0,H
15,Sevilla,Barcelona,0,0,D
14,Betis,Atletico Madrid,3,2,H
14,Valladolid,Granada,3,2,H
14,Mallorca,Sevilla,1,2,A
14,Real Sociedad,Celta Vigo,2,1,H
14,Barcelona,Real Madrid,0,0,D
14,Athletic Bilbao,Villarreal,3,2,H
14,Getafe,Valencia,2,1,H
14,Espanyol,Alaves,1,1,D
14,Levante,Almeria,1,2,A
14,Leganes,Osasuna,1,0,H
13,Athletic Bilbao,Betis,3,3,D
13,Villarreal,Levante,2,0,H
13,Osasuna,Granada,2,0,H
13,Atletico Madrid,Real Sociedad,1,0,H
13,Valencia,Espanyol,2,0,H
13,Sevilla,Valladolid,2,0,H
13,Almeria,Barcelona,1,0,H
13,Alaves,Leganes,0,0,D
13,Celta Vigo,Getafe,2,1,H
13,Real Madrid,Mallorca,3,0,H
12,Betis,Real Sociedad,2,3,A
12,Mallorca,Almeria,1,1,D
12,Granada,Alaves,2,1,H
12,Levante,Athletic Bilbao,2,1,H
12,Espanyol,Celta Vigo,2,0,H
12,Barcelona,Villarreal,2,2,D
12,Leganes,Valencia,1,2,A
12,Getafe,Atletico Madrid,0,1,A
12,Osasuna,Sevilla,1,1,D
12,Valladolid,Real Madrid,0,1,A
11,Atletico Madrid,Espanyol,2,0,H
11,Valencia,Granada,1,2,A
11,Villarreal,Mallorca,1,2,A
11,Alaves,Sevilla,2,3,A
11,Almeria,Valladolid,1,0,H
11,Levante,Betis,0,0,D
11,Athletic Bilbao,Barcelona,3,0,H
11,Real Sociedad,Getafe,1,0,H
11,Real Madrid,Osasuna,1,2,A
11,Celta Vigo,Leganes,2,0,H
10,Betis,Getafe,1,1,D
10,Sevilla,Valencia,2,2,D
10,Valladolid,Villarreal,0,1,A
10,Alaves,Real Madrid,0,0,D
10,Barcelona,Levante,3,1,H
10,Granada,Celta Vigo,0,1,A
10,Mallorca,Athletic Bilbao,1,1,D
10,Leganes,Atletico Madrid,2,2,D
10,Osasuna,Almeria,1,3,A
10,Espanyol,Real Sociedad,0,0,D
9,Levante,Mallorca,0,1,A
9,Valencia,Real Madrid,2,2,D
9,Getafe,Espanyol,3,1,H
9,Barcelona,Betis,4,2,H
9,Real Sociedad,Leganes,2,2,D
9,Almeria,Alaves,0,0,D
9,Athletic Bilbao,Valladolid,1,0,H
9,Atletico Madrid,Granada,3,2,H
9,Villarreal,Osasuna,1,1,D
9,Celta Vigo,Sevilla,2,2,D
8,Granada,Real Sociedad,1,1,D
8,Valladolid,Levante,2,1,H
8,Osasuna,Athletic Bilbao,3,3,D
8,Leganes,Getafe,1,2,A
8,Alaves,Villarreal,3,1,H
8,Sevilla,Atletico Madrid,1,1,D
8,Valencia,Almeria,2,0,H
8,Betis,Espanyol,0,1,A
8,Real Madrid,Celta Vigo,2,0,H
8,Mallorca,Barcelona (Barca,1,3,A
7,Villarreal,Valencia,1,0,H
7,Atletico Madrid,Real Madrid,1,1,D
7,Celta Vigo,Almeria,1,2,A
7,Athletic Bilbao,Alaves,1,0,H
7,Barcelona,Valladolid,3,0,H
7,Levante,Osasuna,1,0,H
7,Getafe,Granada,1,0,H
7,Espanyol,Leganes,2,1,H
7,Mallorca,Betis,2,0,H
7,Real Sociedad,Sevilla,0,1,A
6,Almeria,Atletico Madrid,0,1,A
6,Sevilla,Getafe,2,2,D
6,Valladolid,Mallorca,4,1,H
6,Granada,Espanyol,0,2,A
6,Celta Vigo,Villarreal,2,0,H
6,Real Madrid,Real Sociedad,3,0,H
6,Valencia,Athletic Bilbao,2,1,H
6,Alaves,Levante,1,3,A
6,Osasuna,Barcelona,0,0,D
6,Betis,Leganes,2,1,H
5,Atletico Madrid,Villarreal,3,0,H
5,Real Sociedad,Almeria,1,1,D
5,Barcelona,Alaves,3,1,H
5,Getafe,Real Madrid,2,1,H
5,Levante,Valencia,0,0,D
5,Espanyol,Sevilla,2,3,A
5,Mallorca,Osasuna,0,0,D
5,Athletic Bilbao,Celta Vigo,0,1,A
5,Valladolid,Betis,1,3,A
5,Leganes,Granada,1,1,D
4,Villarreal,Real Sociedad,1,1,D
4,Celta Vigo,Levante,1,1,D
4,Betis,Granada,3,0,H
4,Valencia,Barcelona,3,3,D
4,Atletico Madrid,Athletic Bilbao,2,3,A
4,Almeria,Getafe,1,3,A
4,Alaves,Mallorca,2,2,D
4,Real Madrid,Espanyol,0,0,D
4,Sevilla,Leganes,1,0,H
4,Osasuna,Valladolid,1,1,D
3,Osasuna,Betis,2,3,A
3,Getafe,Villarreal,1,0,H
3,Valladolid,Alaves,0,2,A
3,Espanyol,Almeria,2,3,A
3,Levante,Atletico Madrid,0,0,D
3,Granada,Sevilla,1,2,A
3,Leganes,Real Madrid,1,1,D
3,Real Sociedad,Athletic Bilbao,1,1,D
3,Mallorca,Valencia,1,1,D
3,Barcelona,Celta Vigo,4,1,H
3,Getafe,Levante,1,0,H
3,Real Sociedad,Levante,1,1,D
3,Espanyol,Athletic Bilbao,2,0,H
3,Atletico Madrid,Barcelona,0,1,A
3,Sevilla,Real Madrid,3,0,H
3,Alaves,Osasuna,3,1,H
3,Mallorca,Atletico Madrid,2,0,H
3,Valencia,Valladolid,1,3,A
3,Valladolid,Celta Vigo,0,2,A
3,Real Madrid,Granada,4,2,H
3,Granada,Almeria,4,0,H
3,Celta Vigo,Mallorca,4,0,H
3,Alaves,Betis,2,2,D
3,Almeria,Leganes,2,2,D
3,Osasuna,Valencia,0,3,A
3,Villarreal,Espanyol,1,2,A
3,Barcelona,Real Sociedad,3,1,H
3,Athletic Bilbao,Getafe,2,2,D
3,Leganes,Villarreal,3,0,H
3,Betis,Sevilla,2,1,H
2,Real Sociedad,Levante,1,1,D
2,Atletico Madrid,Barcelona,0,1,A
2,Alaves,Osasuna,3,1,H
2,Valencia,Valladolid,1,3,A
2,Real Madrid,Granada,4,2,H
2,Celta Vigo,Mallorca,4,0,H
2,Almeria,Leganes,2,2,D
2,Villarreal,Espanyol,1,2,A
2,Athletic Bilbao,Getafe,2,2,D
2,Betis,Sevilla,2,1,H
1,Getafe,Levante,1,0,H
1,Espanyol,Athletic Bilbao,2,0,H
1,Sevilla,Real Madrid,3,0,H
1,Mallorca,Atletico Madrid,2,0,H
1,Valladolid,Celta Vigo,0,2,A
1,Granada,Almeria,4,0,H
1,Alaves,Betis,2,2,D
1,Osasuna,Valencia,0,3,A
1,Barcelona,Real Sociedad,3,1,H
1,Leganes,Villarreal,3,0,H

38,Real Sociedad,Betis,0,3,A
38,Barcelona,Alaves,4,0,H
38,Getafe,Valencia,1,1,D
38,Sevilla,Osasuna,1,2,A
38,Espanyol,Granada,0,1,A
38,Villarreal,Athletic Bilbao,2,1,H
38,Atletico Madrid,Leganes,4,2,H
38,Mallorca,Real Madrid,0,0,D
38,Valladolid,Celta Vigo,2,1,H
38,Levante,Almeria,0,0,D

37,Leganes,Mallorca,1,2,A
37,Valencia,Athletic Bilbao,0,1,A
37,Levante,Espanyol,3,2,H
